,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Инженер слаботочных систем,52000.0,,RUR,Гуково,2022-12-23T11:54:31+0300
1,Аналитик,,70000.0,RUR,Москва,2022-12-23T11:36:56+0300
2,Монтажник РЭА и приборов,70000.0,,RUR,Москва,2022-12-23T11:09:06+0300
3,Руководитель проектов в команду Маркет Express,,,,Москва,2022-12-23T11:40:16+0300
4,Python разработчик,,,,Нижний Новгород,2022-12-23T10:36:04+0300
5,Инженер администрирования и сопровождения,,245000.0,RUR,Москва,2022-12-23T10:24:53+0300
6,Стажер / ученик токаря-карусельщика,,,,Сафоново,2022-12-23T11:03:58+0300
7,Инженер-программист,80000.0,,RUR,Москва,2022-12-23T11:53:08+0300
8,Тестировщик Middle (web),,,,Новосибирск,2022-12-23T07:05:56+0300
9,Продуктовый аналитик,,,,Москва,2022-12-23T09:51:06+0300
10,Креативный дизайнер,,,,Санкт-Петербург,2022-12-23T10:06:57+0300
11,Токарь (оператор) на станок с ЧПУ,60000.0,90000.0,RUR,Воронеж,2022-12-23T11:01:37+0300
12,"Product Manager в направление ""Жизнь в городе""",,,,Москва,2022-12-23T10:47:59+0300
13,Инженер по видеонаблюдению,,,,Улан-Удэ,2022-12-23T09:58:47+0300
14,Главный специалист по обеспечению эксплуатации механизированного транспортного состава,75000.0,86000.0,RUR,Тюмень,2022-12-23T07:05:54+0300
15,Специалист по сопровождению разработки (Product Owner),150000.0,,RUR,Москва,2022-12-23T09:19:03+0300
16,Визуализатор 3Д экстерьеров/3D-артист,200000.0,400000.0,KZT,Алматы,2022-12-23T08:24:32+0300
17,Junior разработчик (поисковая выдача),,65000.0,RUR,Санкт-Петербург,2022-12-23T09:50:53+0300
18,Главный руководитель проектов GR Центра развития технологических инноваций,,,,Москва,2022-12-23T10:08:15+0300
19,Верстальщик-дизайнер,60000.0,80000.0,RUR,Челябинск,2022-12-23T08:07:41+0300
20,Руководитель IT-службы,800000.0,1000000.0,KZT,Алматы,2022-12-23T11:07:43+0300
21,Главный специалист (ПОД/ФТ),,,,Москва,2022-12-23T11:25:52+0300
22,Главный механик,70000.0,75000.0,RUR,Тюмень,2022-12-23T06:45:59+0300
23,Механик,42000.0,,RUR,Ростов-на-Дону,2022-12-23T10:26:59+0300
24,"Инженер по тестированию, Логистика, Франшиза для ПВЗ",,,,Москва,2022-12-23T09:55:30+0300
25,Разработчик С++/Qt,,,,Москва,2022-12-23T10:29:32+0300
26,Программист,15279.0,,RUR,Энгельс,2022-12-23T06:53:48+0300
27,Контент-мейкер / Копирайтер / SEO,60000.0,,RUR,Санкт-Петербург,2022-12-23T11:32:34+0300
28,DevOps инженер (Dev Ops),1500.0,3500.0,USD,Алматы,2022-12-23T09:50:45+0300
29,"Инженер по тестированию, Логистика, Франшиза для ПВЗ",,,,Санкт-Петербург,2022-12-23T09:54:43+0300
30,Фрезеровщик (без опыта),,,,Королев,2022-12-23T11:03:35+0300
31,Сборщик ПК,50000.0,,RUR,Пушкино (Московская область),2022-12-23T11:30:39+0300
32,Системный администратор,76000.0,76000.0,RUR,Москва,2022-12-23T11:37:08+0300
33,Системный администратор,,150000.0,RUR,Москва,2022-12-23T11:48:26+0300
34,Python Developer в омниканальные контактные центры,,,,Москва,2022-12-23T10:54:03+0300
35,Начальник отдела информационных технологий,100000.0,,RUR,Тверь,2022-12-23T08:33:49+0300
36,Специалист по развитию производственной системы (автопром/машиностроение),,200000.0,RUR,Москва,2022-12-23T10:00:03+0300
37,Художник-декоратор костюмов для спортивных выступлений,55000.0,,RUR,Санкт-Петербург,2022-12-23T11:18:37+0300
38,Программист-стажер 1С,,,,Санкт-Петербург,2022-12-23T11:42:01+0300
39,Продакт-менеджер,200000.0,,RUR,Москва,2022-12-23T06:31:18+0300
40,Middle+ Python разработчик (FastAPI),1500.0,2500.0,USD,Москва,2022-12-23T07:25:37+0300
41,Product owner,,,,Москва,2022-12-23T10:09:14+0300
42,Копирайтер B2B-кейсов,,,,Ижевск,2022-12-23T10:28:44+0300
43,Руководитель транспортного отдела/Завгар,3000000.0,7000000.0,UZS,Ташкент,2022-12-23T11:17:49+0300
44,IT Manager,,,,Астана,2022-12-23T07:37:15+0300
45,Администратор информационной безопасности,,,,Оренбург,2022-12-23T10:17:54+0300
46,Инженер по эксплуатации информационных систем,100000.0,,RUR,Хабаровск,2022-12-23T11:10:48+0300
47,Аналитик,,,,Калининград,2022-12-23T11:10:53+0300
48,Графический - motion дизайнер,,,,Бишкек,2022-12-23T06:51:25+0300
49,Аналитик по товародвижению,62000.0,,RUR,Новосибирск,2022-12-23T08:23:10+0300
50,SQL аналитик,100000.0,,RUR,Ростов-на-Дону,2022-12-23T10:06:40+0300
51,Оператор станка,60000.0,,RUR,Раменское,2022-12-23T09:58:47+0300
52,Шлифовщик,90000.0,,RUR,Москва,2022-12-23T11:13:25+0300
53,QA специалист,,,,Москва,2022-12-23T10:11:21+0300
54,Менеджер по продукту / категорийный менеджер,150000.0,,RUR,Москва,2022-12-23T10:28:52+0300
55,Project Manager,,,,Алматы,2022-12-23T10:21:21+0300
56,Тестировщик Middle (web),,,,Томск,2022-12-23T07:07:03+0300
57,Менеджер проекта (фармацевтическое/химическое производство),,,,Москва,2022-12-23T11:22:05+0300
58,Разработчик банковского ПО,100000.0,,RUR,Челябинск,2022-12-23T06:32:50+0300
59,Инженер по автоматизированным системам,47000.0,,RUR,Уфа,2022-12-23T09:47:23+0300
