,name,salary,area_name,published_at
0,Технический консультант.,12199.92,Санкт-Петербург,2003-09-19T14:42:13+0400
1,Broadcast encryption engineer,63600.200000000004,Южная Корея,2003-01-31T18:24:11+0300
2,Embedded OS engineering manager,63600.200000000004,Москва,2003-01-31T18:25:43+0300
3,Начальник Управления автоматизации крупного банка (ТОР-30),121999.2,Москва,2003-09-09T00:00:00+0400
4,Специалист (настройщик) модуля BASIS SAP R/3,90254.1,Москва,2003-10-06T00:00:00+0400
5,Менеджер по продвижению программных продуктов,31100.0,Москва,2003-04-01T18:28:37+0400
6,Технический писатель,9330.0,Москва,2003-04-01T18:35:22+0400
7,Key account manager  (продажа компьютерного оборудования),45749.7,Москва,2003-09-19T00:00:00+0400
8,Системный инженер,36101.64,Москва,2003-10-06T00:00:00+0400
9,"Project manager (ERP, SCM)",60999.6,Москва,2003-09-05T00:00:00+0400
10,Бизнес-аналитик,36864.0,Москва,2003-05-14T16:18:16+0400
11,Аccount manager,91499.4,Москва,2003-09-10T00:00:00+0400
12,Менеджер по работе с клиентами,59473.799999999996,Москва,2003-11-24T00:00:00+0300
13,Корреспондент-редактор медицинского интернет-портала,24399.84,Москва,2003-09-21T00:00:00+0400
14,Редактор медицинского портала,29253.3,Москва,2003-12-11T00:00:00+0300
15,Технический писатель,23789.52,Москва,2003-11-19T00:00:00+0300
16,Продакт-менеджер,150423.5,Москва,2003-10-21T00:00:00+0400
17,Руководитель представительства,33765.0676,Челябинск,2003-08-28T00:00:00+0400
18,Sales representative,30499.8,Москва,2003-09-06T00:00:00+0400
19,Специалист по оптимизации товарных запасов,48557.28,Москва,2003-06-11T19:11:29+0400
20,Сервис-менеджер,24278.64,Москва,2003-06-18T17:38:56+0400
21,Менеджер по закупкам,30348.3,Москва,2003-06-19T12:41:24+0400
22,Sales manager,30348.3,Москва,2003-06-19T14:37:30+0400
23,Сервис-инженер.,10637.06,Санкт-Петербург,2003-08-19T00:00:00+0400
24,Программист группы внедрения,45127.05,Москва,2003-10-13T00:00:00+0400
25,Программист 1С,39509.08,Москва,2003-08-22T00:00:00+0400
26,Cпециалист в отдел внедрения,36599.76,Москва,2003-09-25T00:00:00+0400
27,Менеджер по продажам телекоммуникационного оборудования,75805.0,Москва,2003-07-09T12:23:21+0400
28,Key Account Manager,75979.0,Москва,2003-08-20T00:00:00+0400
29,Продакт менеджер по серверному оборудованию,45749.7,Москва,2003-09-30T00:00:00+0400
30,Sales engineer/technical pre-sale,76249.5,Москва,2003-09-30T00:00:00+0400
31,Консультант по внедрению (Oracle E-Business Suite),60169.4,Москва,2003-10-27T00:00:00+0300
32,"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30322.0,Москва,2003-07-16T18:31:53+0400
33,"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30322.0,Москва,2003-07-17T11:25:13+0400
34,Системный администратор,24257.6,Москва,2003-07-17T15:47:04+0400
35,Специалист отдела труда и заработной платы.,36101.64,Москва,2003-10-06T00:00:00+0400
36,Продукт-менеджер по промышленным компьютерам,45483.0,Санкт-Петербург,2003-07-18T12:27:41+0400
37,Financial systems support specialist (IT Specialist),87933.8,Москва,2003-07-18T16:38:26+0400
38,Менеджер в отдел сувенирной продукции,15161.0,Москва,2003-07-18T18:59:15+0400
39,"Менеджер по работе с партнерами, вендорами",30499.8,Москва,2003-09-15T00:00:00+0400
40,Системный администратор,30499.8,Москва,2003-09-17T00:00:00+0400
41,Системный администратор,24399.84,Москва,2003-09-17T00:00:00+0400
42,Sales Consultant,24257.6,Москва,2003-07-21T17:04:03+0400
43,IT - АДМИНИСТРАТОР СИСТЕМЫ ТОВАРНОГО УЧЕТА,27076.230000000003,Москва,2003-10-06T00:00:00+0400
44,Администратор  (OEBS),30322.0,Москва,2003-07-23T14:44:49+0400
45,Telecommunication Analyst,51665.72,Москва,2003-08-20T00:00:00+0400
46,Web  Content Manager,27076.230000000003,Москва,2003-10-07T00:00:00+0400
47,Программист-разработчик на Access в крупную компьютерную компанию.,21274.12,Москва,2003-08-20T00:00:00+0400
48,Менеджер по региональным продажам в дилерский отдел компании-дистрибутора компьютерной техники.,30084.7,Москва,2003-10-07T00:00:00+0400
49,Старший ПРОДАКТ МЕНЕДЖЕР по продукции Maxtor,120338.8,Москва,2003-10-07T00:00:00+0400
50,Менеджер Интернет проектов,45127.05,Москва,2003-10-07T00:00:00+0400
51,Системный администратор,30391.600000000002,Москва,2003-08-25T00:00:00+0400
52,ИТ специалист (SAP R/3),91174.8,Москва,2003-08-26T00:00:00+0400
53,Администратор баз данных SAP R/3,60783.200000000004,Москва,2003-08-26T00:00:00+0400
54,Менеджер по продажам проектов,60644.0,Санкт-Петербург,2003-07-29T12:17:44+0400
55,"Архитектор (VB, ASP)",21274.12,Санкт-Петербург,2003-08-27T00:00:00+0400
56,Администратор финансовых информационных систем и Oracle,45127.05,Москва,2003-10-06T00:00:00+0400
57,Supply Business Process Development Coordinator,38124.75,Москва,2003-09-19T00:00:00+0400
58,Заместитель начальника отдела закупок,151958.0,Москва,2003-08-25T00:00:00+0400
59,Программист Visual C++,15195.800000000001,Санкт-Петербург,2003-08-25T00:00:00+0400
60,Инженер-конструктор,15195.800000000001,Санкт-Петербург,2003-08-25T00:00:00+0400
